id,name,age,salary,department,join_date
1,Person_1,64,12012.929193384669,HR,2020-01-01
2,Person_2,79,51558.095465395745,Sales,2020-01-02
3,Person_3,21,49199.52676744021,HR,2020-01-03
4,Person_4,78,57728.819609597864,IT,2020-01-04
5,Person_5,55,27798.718786496458,Sales,2020-01-05
6,Person_6,34,23600.147069891154,HR,2020-01-06
7,Person_7,63,43984.34942792083,Finance,2020-01-07
8,Person_8,53,47310.12314487329,Sales,2020-01-08
9,Person_9,33,42724.61509869996,Finance,2020-01-09
10,Person_10,31,76095.53307677268,HR,2020-01-10
11,Person_11,69,29568.831946595525,Finance,2020-01-11
12,Person_12,29,24206.041901670807,Finance,2020-01-12
13,Person_13,77,48568.688324473136,HR,2020-01-13
14,Person_14,58,30219.229630703037,IT,2020-01-14
15,Person_15,54,48989.917743775244,Sales,2020-01-15
16,Person_16,62,56719.49723732831,IT,2020-01-16
17,Person_17,46,53095.64407771697,IT,2020-01-17
18,Person_18,49,35718.72852808175,HR,2020-01-18
19,Person_19,44,55953.220100745646,Sales,2020-01-19
20,Person_20,24,67355.42120517233,IT,2020-01-20
21,Person_21,69,53476.09102107214,Finance,2020-01-21
22,Person_22,30,45512.0384721118,Finance,2020-01-22
23,Person_23,51,56742.28252152587,IT,2020-01-23
24,Person_24,31,43811.37945987397,Finance,2020-01-24
25,Person_25,25,73049.52863358658,Finance,2020-01-25
26,Person_26,42,62932.961134873694,Sales,2020-01-26
27,Person_27,32,54678.67487234217,HR,2020-01-27
28,Person_28,42,65130.27535671417,Finance,2020-01-28
29,Person_29,33,45324.46364147547,HR,2020-01-29
30,Person_30,58,50315.447373173156,HR,2020-01-30
31,Person_31,67,61135.32437054325,Sales,2020-01-31
32,Person_32,69,44404.58102377797,Sales,2020-02-01
33,Person_33,42,63826.454644772144,IT,2020-02-02
34,Person_34,37,32834.36703160739,Sales,2020-02-03
35,Person_35,60,64304.57425419804,Finance,2020-02-04
36,Person_36,22,66241.90511796281,IT,2020-02-05
37,Person_37,44,51801.39571652124,Sales,2020-02-06
38,Person_38,37,40131.60269501586,Sales,2020-02-07
39,Person_39,40,54624.61848745426,HR,2020-02-08
40,Person_40,27,54221.60643736856,Finance,2020-02-09
41,Person_41,64,21734.795782018024,HR,2020-02-10
42,Person_42,74,62676.43249324106,HR,2020-02-11
43,Person_43,47,59159.03133633765,Sales,2020-02-12
44,Person_44,34,46070.465433473226,Sales,2020-02-13
45,Person_45,47,61776.12418018655,Sales,2020-02-14
46,Person_46,51,66401.39407456583,Sales,2020-02-15
47,Person_47,52,48730.831820350904,IT,2020-02-16
48,Person_48,56,50124.51105691356,Sales,2020-02-17
49,Person_49,35,45871.17958903985,Sales,2020-02-18
50,Person_50,74,27604.096166014915,Finance,2020-02-19
51,Person_51,76,51931.94163774995,HR,2020-02-20
52,Person_52,60,55621.13198825592,Sales,2020-02-21
53,Person_53,34,23152.94491886148,IT,2020-02-22
54,Person_54,32,14146.318433315162,HR,2020-02-23
55,Person_55,28,42380.01824430418,HR,2020-02-24
56,Person_56,31,43440.37071729612,IT,2020-02-25
57,Person_57,64,49164.47397192059,Finance,2020-02-26
58,Person_58,51,45826.32363534654,HR,2020-02-27
59,Person_59,57,35583.06121174466,Sales,2020-02-28
60,Person_60,46,34029.77837557063,Finance,2020-02-29
61,Person_61,24,73389.52909404552,HR,2020-03-01
62,Person_62,34,73773.74338131858,IT,2020-03-02
63,Person_63,18,65938.38523582654,Finance,2020-03-03
64,Person_64,34,62103.41323382523,Finance,2020-03-04
65,Person_65,47,73863.20501851299,IT,2020-03-05
66,Person_66,30,22671.858559586366,HR,2020-03-06
67,Person_67,63,82730.16559664841,Finance,2020-03-07
68,Person_68,22,39515.71006723006,Sales,2020-03-08
69,Person_69,38,79618.8998652042,Sales,2020-03-09
70,Person_70,37,40079.04356192132,HR,2020-03-10
71,Person_71,60,54552.938854883854,IT,2020-03-11
72,Person_72,59,66577.85350881428,Sales,2020-03-12
73,Person_73,36,61279.92077520468,IT,2020-03-13
74,Person_74,70,55409.02423423472,Finance,2020-03-14
75,Person_75,78,50139.3035818414,HR,2020-03-15
76,Person_76,56,48214.322685345236,HR,2020-03-16
77,Person_77,18,52539.726711484014,Finance,2020-03-17
78,Person_78,71,42219.40216141651,IT,2020-03-18
79,Person_79,43,41361.44601867083,IT,2020-03-19
80,Person_80,74,73969.18684901172,IT,2020-03-20
81,Person_81,75,77880.3726292145,HR,2020-03-21
82,Person_82,55,29946.553510708774,Sales,2020-03-22
83,Person_83,27,55762.08402676814,Sales,2020-03-23
84,Person_84,52,38090.270554423434,Finance,2020-03-24
85,Person_85,62,57417.358462414195,Finance,2020-03-25
86,Person_86,68,47945.6205365294,HR,2020-03-26
87,Person_87,23,37420.30354104874,Sales,2020-03-27
88,Person_88,79,53989.970840787275,Sales,2020-03-28
89,Person_89,38,56713.91865845495,Sales,2020-03-29
90,Person_90,21,70940.90130588655,HR,2020-03-30
91,Person_91,50,38696.613171878635,Finance,2020-03-31
92,Person_92,51,32635.629370820152,Sales,2020-04-01
93,Person_93,75,67169.27048454189,IT,2020-04-02
94,Person_94,78,45664.11554630779,Finance,2020-04-03
95,Person_95,21,47108.6814887361,Finance,2020-04-04
96,Person_96,34,78887.6257195725,Finance,2020-04-05
97,Person_97,35,37682.89432764262,Sales,2020-04-06
98,Person_98,26,43121.2817414894,IT,2020-04-07
99,Person_99,62,70885.98132174934,IT,2020-04-08
100,Person_100,68,56612.374498373916,HR,2020-04-09
