id,name,age,salary,department,join_date
1,Person_1,22,44960.27464322234,HR,2020-01-01
2,Person_2,50,57943.52576821176,IT,2020-01-02
3,Person_3,36,31319.79348588433,IT,2020-01-03
4,Person_4,41,40179.6619347845,IT,2020-01-04
5,Person_5,25,59650.12426497611,IT,2020-01-05
6,Person_6,76,51052.025025265866,Sales,2020-01-06
7,Person_7,25,77093.73624377328,HR,2020-01-07
8,Person_8,42,52393.1381577621,HR,2020-01-08
9,Person_9,53,31611.416618947995,IT,2020-01-09
10,Person_10,66,51004.59882068611,IT,2020-01-10
11,Person_11,68,46043.63791274435,Sales,2020-01-11
12,Person_12,18,50793.72186306445,IT,2020-01-12
13,Person_13,64,73145.36265166868,Sales,2020-01-13
14,Person_14,77,46998.02609127467,Sales,2020-01-14
15,Person_15,20,38994.39797376977,Finance,2020-01-15
16,Person_16,63,43287.7795929508,HR,2020-01-16
17,Person_17,58,69026.95026018156,Finance,2020-01-17
18,Person_18,46,48152.40511422901,IT,2020-01-18
19,Person_19,68,34635.40887966212,IT,2020-01-19
20,Person_20,68,65576.28862785012,IT,2020-01-20
21,Person_21,73,36338.25300772311,IT,2020-01-21
22,Person_22,44,60808.22430682303,Sales,2020-01-22
23,Person_23,60,30968.969426390224,IT,2020-01-23
24,Person_24,32,45892.162449256066,HR,2020-01-24
25,Person_25,27,56536.2695358794,IT,2020-01-25
26,Person_26,55,26565.891299390536,Sales,2020-01-26
27,Person_27,48,53314.097074534955,HR,2020-01-27
28,Person_28,48,44298.21756685802,Finance,2020-01-28
29,Person_29,77,44783.96314160818,IT,2020-01-29
30,Person_30,79,70109.2621387702,IT,2020-01-30
31,Person_31,72,43166.0179341811,IT,2020-01-31
32,Person_32,52,60926.40833863431,HR,2020-02-01
33,Person_33,66,48910.552663646864,Sales,2020-02-02
34,Person_34,77,71647.39885590435,HR,2020-02-03
35,Person_35,62,50169.12010992338,HR,2020-02-04
36,Person_36,47,37201.54164423887,IT,2020-02-05
37,Person_37,41,46043.1246983202,IT,2020-02-06
38,Person_38,43,60554.02362318956,HR,2020-02-07
39,Person_39,19,41747.068748623766,Finance,2020-02-08
40,Person_40,62,9829.02304073704,Sales,2020-02-09
41,Person_41,72,36251.44793031735,HR,2020-02-10
42,Person_42,62,46609.23064078364,Sales,2020-02-11
43,Person_43,50,63991.2926977577,Finance,2020-02-12
44,Person_44,58,34246.42101925401,Finance,2020-02-13
45,Person_45,69,38670.234652061714,Finance,2020-02-14
46,Person_46,20,34314.61491641312,HR,2020-02-15
47,Person_47,66,67192.30221716619,HR,2020-02-16
48,Person_48,21,28801.53003038345,HR,2020-02-17
49,Person_49,77,33171.277230395484,Sales,2020-02-18
50,Person_50,68,63120.05058181823,Sales,2020-02-19
51,Person_51,48,33038.893305189216,HR,2020-02-20
52,Person_52,53,38878.04021506574,Finance,2020-02-21
53,Person_53,56,26430.61118514346,HR,2020-02-22
54,Person_54,62,21168.425830645116,HR,2020-02-23
55,Person_55,52,52821.33001336544,Sales,2020-02-24
56,Person_56,70,49458.731425018,IT,2020-02-25
57,Person_57,18,42749.388728120044,IT,2020-02-26
58,Person_58,58,49108.226576615714,HR,2020-02-27
59,Person_59,22,55668.58998698423,HR,2020-02-28
60,Person_60,61,60211.22258636881,IT,2020-02-29
61,Person_61,73,25216.172080024273,Finance,2020-03-01
62,Person_62,51,49621.99702427119,IT,2020-03-02
63,Person_63,50,52660.02199343877,Finance,2020-03-03
64,Person_64,53,31524.526475700157,Finance,2020-03-04
65,Person_65,51,53064.64557013535,IT,2020-03-05
66,Person_66,32,49889.4499484585,HR,2020-03-06
67,Person_67,57,44167.24195920513,Sales,2020-03-07
68,Person_68,52,32744.041505374964,IT,2020-03-08
69,Person_69,64,51617.020846652835,HR,2020-03-09
70,Person_70,48,49897.35825595995,IT,2020-03-10
71,Person_71,51,60301.3072796218,HR,2020-03-11
72,Person_72,67,36337.985502390526,HR,2020-03-12
73,Person_73,59,78100.93990364832,Finance,2020-03-13
74,Person_74,36,50932.374575968985,Finance,2020-03-14
75,Person_75,23,39971.96010323955,HR,2020-03-15
76,Person_76,75,45484.02195719304,IT,2020-03-16
77,Person_77,65,21643.222577454875,IT,2020-03-17
78,Person_78,37,34169.8736952637,HR,2020-03-18
79,Person_79,59,59088.70387370018,Sales,2020-03-19
80,Person_80,67,42290.045413753454,HR,2020-03-20
81,Person_81,67,66878.30842091322,IT,2020-03-21
82,Person_82,65,25913.283478173453,HR,2020-03-22
83,Person_83,63,62982.963357038054,Finance,2020-03-23
84,Person_84,62,38402.391234590774,Finance,2020-03-24
85,Person_85,31,41356.02962306419,HR,2020-03-25
86,Person_86,64,19227.78045796088,Sales,2020-03-26
87,Person_87,79,24577.575543219955,IT,2020-03-27
88,Person_88,41,40609.57545713912,Sales,2020-03-28
89,Person_89,67,65701.85928251273,HR,2020-03-29
90,Person_90,28,35927.33450304138,Sales,2020-03-30
91,Person_91,68,62003.495967268034,Finance,2020-03-31
92,Person_92,31,60507.01608285706,Sales,2020-04-01
93,Person_93,28,61824.395645287914,Sales,2020-04-02
94,Person_94,38,46165.60828873301,Sales,2020-04-03
95,Person_95,41,59968.956734798776,IT,2020-04-04
96,Person_96,72,35315.46749289258,Sales,2020-04-05
97,Person_97,64,25026.069777113393,IT,2020-04-06
98,Person_98,69,27899.552478562553,HR,2020-04-07
99,Person_99,57,67551.77236450504,Finance,2020-04-08
100,Person_100,64,36371.74423970202,Finance,2020-04-09
